1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2286343.3997938833,4942687.768910185,200874.1253869484,11430833.54321568,3326671.596222078,2905551.5455974597,881804.5097555956,39044033.81929745,16656451.354614425,31526033.5737762,9090062.195090828,3006925.230622275,4193081.549971744,35114110.821747325,32493173.51696811,797743.4347600722,6833572.400073621,10762783.732086286,89384086.37062004,2542657.9382094634,6754613.570791179,16321038.509888202,34214964.20784627,6401918.645482031,9166028.19779184,1005630662.2438691,8818841.616361197,18854744.593603447,26776964.110714413,97052939.14793967,2191004.4550410407,33766744.46524121,10435176.196295355,97224043.0702589,2810108.64706984,8286208.142877273,71521403.54879656,125308579.62674217,10678135.500657286,243095918.02409744,93830672.01815079,30700346.9822368,340496800.69798625,187289192.2416782,590417619.5738964,62373175.92207602,32987527.37845817,172017808.42495847,747578165.5971761,1465696094.5520663,80075528.35974264,196951342.11738446,108024950.99038328,54874017.390838295,92596888.75513528,282669608.2370361,31970946.742570464,1073335798.6470742
866339.8364242992,3254209.6216326905,1039186.9802637766,12493209.279960494,1091673.3417978412,1168119.0480435186,574768.1799315287,24912248.7074779,18211546.69594068,357204.7399559705,1741367.4316794402,1642143.4960931602,460078.16730126785,8256931.0252393,6810840.967479661,116417.338684476,4567792.2810657425,3213317.543071698,5686683.604793025,789112.0592038117,4622930.312563047,1239551.622587181,13043222.470944054,4604851.842565656,9731219.610287357,243049945.04678226,3328146.4088089215,7088655.527189635,4862802.128982299,40030474.44332177,3820958.912632757,19999671.323866498,1573838.443784243,55511540.544662215,745017.0696820936,877098.005478649,75858625.23801392,40082281.46709828,8009989.115041338,519739144.0295421,39483239.31268629,14007116.373548178,144186088.64780635,92667002.23812976,313236211.1400875,18958266.888513517,10950458.935275622,21872418.7208094,192817374.04647335,124284094.05617325,122553002.83443221,63628068.43057452,47292106.056982316,33762725.26719045,128522751.57889582,187262050.54960087,22901572.36565552,168253629.36044526
2835102.1090073697,488114.4631907299,178466.55091501,2032180.476614206,1418281.347037296,496011.6948300983,316636.79012051516,3607780.808122024,7134625.5462596705,473048.9861525193,725161.5744904032,498359.14436621027,261810.9829894502,497693.3700536565,3404191.752884666,57575.522854715586,3636473.727819855,1904804.5830468833,1190993.1607977601,514576.88163754495,1061501.025933983,938402.1479158659,7962885.862839724,4758511.912417233,4379042.109864221,391609670.58227754,539631.4298974917,8578824.661997803,449350.0843546868,3950985.245331055,1760135.332545531,40610962.27510694,1595294.998286307,62169694.47052091,2251537.5043742303,1062474.1632086472,52137491.50001413,126570352.58607277,7983562.293215423,29465850.900379885,31514551.47626828,1589669.52862325,73514624.66411841,78280531.30915098,65974024.61289853,40895073.71803411,16105101.310415972,4835754.823226582,99255588.30483006,219330090.01083738,46446875.65773139,17805802.73323892,27242449.99305688,18543746.869765554,64687340.21601481,87433955.20189229,6167780.166549624,181141018.2148099
162192.42603155185,356650.196013622,74495.43381885282,3122575.3272475465,646954.1846285491,540530.4138931559,358741.4514240997,3667544.368416872,2725201.3134652353,114877.35916780616,843740.839517824,448845.337349289,343979.8000780601,251635.81086953724,601772.4847174748,80162.93374946204,1259616.244686775,1074471.4238750292,1884500.0500517671,425452.0932935335,813443.6653206322,1072707.5497515062,12719150.625896962,2260698.3330293386,6540526.362627674,51115759.96507254,1189666.8332192372,1397578.4052429697,228342.20474204875,3382126.5067939204,1679988.5395744739,15971359.375099868,1763897.223516601,15519723.282551419,420564.5082541677,991232.7701631035,49240014.043496355,21147737.109319128,7655838.016033613,371427743.80456,9175964.9772814,2531076.3145845374,39644305.104138106,29435220.89795656,712679179.7157923,9452437.939140024,9293955.931896426,1337540.3029013488,121583628.69149975,212860389.85974598,19929869.58860664,11232720.844835905,29528133.432262283,22502240.863620665,34850381.19991847,121189209.37964967,7415810.7061836105,113858726.28758529
137818.33694816337,271504.80931638303,52547.808286303174,2997760.2087945407,397025.301621288,101397.32553534971,92023.40269767882,1937799.6196048337,1253293.6325727121,116616.68848962146,411940.68872902927,325479.7942540104,271232.89829799824,105404.28036499169,508154.3358467442,45098.91109426551,1057935.9272872533,794165.0286017808,668795.4757913143,271438.6773296546,485938.05846256367,988833.6682478666,11829314.372379296,2158171.0642721364,4150234.1224607364,4439672.1969424905,1070306.2256679202,3072365.5182893286,165019.44739829903,2291306.5872744313,1443040.8850419996,2853858.3357260637,890336.0935380433,13035082.382989584,426936.5904699662,461695.4134151218,19748931.166118395,19378502.526350383,5857986.329373167,30045408.420965277,6292422.457807424,2230532.1268414226,37863595.42261761,31923902.966827285,58620632.1817733,4909412.482469412,2515967.0207000496,877841.9757799496,19355561.60382361,121562281.98485938,7770340.684656531,5053660.658035155,17386847.59692805,5520566.001390685,36366777.21648372,50366199.5350309,3464234.325443747,144655121.28577587
160320.82185965887,539698.0615072215,25169.191141951764,3818524.8354708115,305328.99253145757,77095.24793261295,97859.19099191335,1677229.6911425383,763727.3816239054,54410.84051294003,406906.7754379614,459448.6345450272,270495.6407297215,101422.20509523207,1260572.6518663515,16801.18926964683,1063235.552597623,742312.3157349267,815813.2298643341,144941.71711723498,426649.7402864889,689449.5261841507,3996342.9997967943,1159229.6850842093,2601792.982024827,3886274.7993498794,327737.66332025937,1690958.547368846,163199.85039976944,1591156.436200189,860220.4064089298,2790640.756007238,1340205.5073491568,12113576.65351499,137347.84805842367,374576.6122306471,18009726.415967986,10657045.158161113,6183597.763438687,14617347.210281534,15903581.65929047,1347142.6994756926,14554471.410790903,39511565.00580397,48626622.758811355,3181528.7637303947,4304291.585397631,1167073.115588412,27967289.264504306,79597423.2615331,23283657.55394594,5285999.784703158,14482331.830165226,4927973.74259003,36993449.6104335,26026992.391457617,1858701.6942424332,291564800.20626867
120964.36169058687,161189.63808454073,23660.123257742678,444093.0051034475,140032.66861761655,54696.00284347556,62019.38970203378,2178728.895889705,617411.474635848,29268.807030381922,320874.3015251343,142691.00191058358,151947.4688446705,53029.277149916,141672.44954765905,17178.45378601924,356240.6225846251,428554.1232688529,676078.9962542155,147156.61072772995,718393.2666441913,733187.9024973449,3584627.642012442,1333941.3340681705,22401159.478452906,16483271.402973471,279141.8049083583,683067.1721723106,100137.43418011395,957390.5494760827,788581.1869246349,2104897.975618705,1134794.912352809,7160947.2806831775,119634.61291024555,287825.8343961967,7943515.198393031,8908920.845616367,3005116.788236464,13491872.256151313,30916013.290764134,692745.9176193876,21933022.535656836,37424851.05034681,11951077.784574514,6047134.738968162,2444603.942153895,1991655.9768155972,9201180.063840676,52636279.41466078,2770728.019066535,1834859.6263952323,12246707.773340011,3011849.1766248085,15209461.403854359,32213621.821803834,1870483.335903935,161496690.93907282
149003.44916912282,197750.0926279337,15613.159084091398,639607.2829718483,54307.943083432714,51496.214581809334,44049.37913836101,1635266.4990355398,298596.2262549245,46209.0275394705,338479.32496667455,171108.867521508,132715.64156152538,68603.44906428298,105031.96290117054,19615.640200817863,272990.4514247802,401701.0861446133,676222.0286805987,98291.87322721383,446156.6968152786,711391.8378026461,5800285.541835619,1134851.7254599414,1906826.0048941083,5573650.233496484,481882.8921800306,1373903.5316770822,140741.76670659968,1057774.165597008,1304926.311126696,1745195.288981182,937098.5244274893,7277137.090662962,238959.83866537447,191831.48200452156,8959316.603719562,8323279.818941802,4454354.82227231,30791670.717559826,8933849.85359367,583770.3711136995,19830920.358725432,24465491.749381498,11178296.732075004,33597867.09225041,2324437.976275326,484321.6928109462,19701319.14269288,32032143.217585325,17416413.79233039,1762569.9859751724,8948442.563419227,2334346.676296591,19465099.125177376,170469182.58657277,652447.9582951328,271192613.93666327
33135.24463445474,209158.99856765234,14163.858595676284,533562.6752160705,66397.639354534,40531.60497921579,25611.368572684565,825842.8328335556,283913.66554336145,27201.38072465246,632836.1014811808,48048.6519012996,167183.1837305834,41374.117711484854,220669.9751139428,15101.482487406163,200108.42932838626,170417.76787793505,878706.7517631367,99028.772950155,323126.1897051724,412797.66091583343,2520257.838177345,1008212.275075878,1606363.059696632,2619343.837142158,427420.7841867913,671916.0478348538,67504.82373134617,599826.9510093718,603036.6025854215,2260609.6686614584,717241.0423731448,8769490.00815092,143928.3237331254,148376.9024642889,7964079.816457199,23611049.29933916,2439066.445001872,5358036.378604882,4191345.791583615,344470.6726415626,17070531.382017385,13948735.484878074,24878955.30853051,1803034.5450318106,1628556.8629397624,523220.8892271766,6982062.525174842,32712922.479322992,2915375.128463545,3060261.2828172273,8104728.418785231,5215176.037841219,13954353.859634494,58917953.227540895,425898.17826194095,76848177.52097856
17525.958430548057,106111.2572369513,10886.65613547704,280851.9475011244,66060.88659468303,34203.02657350699,26217.982584439244,858736.9977479224,783189.8089223842,16305.078843931538,158558.34984509266,52880.41938599929,54306.28859394768,43785.90451694392,79127.13552336216,18117.433287634867,172959.8748828778,164190.78357936683,606925.0467203386,74699.83530691145,268622.38871210977,430604.9538798088,2316019.32829142,940371.8999162045,574062.4069513293,3761533.5450225784,574971.965535889,555768.8910309175,91454.4916907427,723901.9052342777,462347.92077491106,3068111.7673444506,929304.5811134438,4285387.684045693,84362.98609337582,144375.85131490103,8958564.845565928,9882740.286137901,2240026.4835101315,10023311.821423363,3276666.436184608,350778.59519067203,6415530.568864408,23669031.47501029,5958079.87654977,1980590.5705760603,1148407.75811493,709723.5318061244,11498348.700159036,45465245.89852162,2454377.960443922,1368417.3612507395,6023383.826554752,2137387.393378764,11610428.01230321,20674951.29147875,870212.6943599485,142744855.26185232
